Age,Gender,Weight (kg),Height (cm),BMI,Activity Level,Dietary Goal,Daily Caloric Intake Goal (kcal),Diet Type,Allergies/Intolerances,Existing Health Conditions
30,male,60,170,20.76,active,weight loss,2653,regular,none,high cholesterol
36,male,72,181,21.98,active,weight loss,2962,vegetarian,none,none
34,male,90,165,33.06,moderate,weight loss,2934,regular,shellfish,none
29,female,49,172,16.56,active,weight loss,2256,regular,none,none
39,female,63,162,24.01,sedentary,muscle gain,1636,regular,none,none
25,male,82,159,32.44,active,weight loss,3119,regular,none,hypertension
30,male,80,172,27.04,moderate,muscle gain,2814,regular,none,none
35,female,62,155,25.81,sedentary,weight loss,1619,vegetarian,nuts,none
34,female,54,163,20.32,sedentary,weight loss,1566,vegetarian,none,none
26,male,77,178,24.3,sedentary,weight loss,2192,vegan,none,none
44,male,74,185,21.62,active,maintenance,2963,vegan,none,none
37,male,78,178,24.62,active,maintenance,3066,regular,none,none
40,female,70,158,28.04,moderate,maintenance,2187,regular,none,high cholesterol
37,female,69,163,25.97,moderate,muscle gain,2217,regular,none,none
31,female,75,146,35.18,moderate,weight loss,2262,regular,none,none
32,female,57,170,19.72,moderate,maintenance,2112,vegan,none,none
38,female,65,167,23.31,moderate,muscle gain,2172,vegetarian,none,diabetes
36,female,66,172,22.31,sedentary,weight loss,1722,regular,none,none
30,female,66,172,22.31,sedentary,weight loss,1753,keto,none,high cholesterol
31,female,66,174,21.8,active,muscle gain,2523,regular,none,none
48,male,83,160,32.42,sedentary,weight loss,2035,regular,lactose,none
24,female,89,166,32.3,moderate,weight loss,2605,vegetarian,none,none
41,male,86,180,26.54,sedentary,weight loss,2246,regular,none,none
34,female,71,178,22.41,moderate,weight loss,2338,vegetarian,none,none
31,male,74,182,22.34,sedentary,muscle gain,2133,regular,none,none
39,female,54,163,20.32,sedentary,maintenance,1540,regular,none,hypertension
28,male,66,165,24.24,moderate,weight loss,2488,vegetarian,none,hypertension
55,male,82,169,28.71,active,maintenance,2908,regular,none,none
39,male,70,174,23.12,sedentary,weight loss,1968,regular,none,high cholesterol
46,male,73,172,24.68,moderate,weight loss,2527,regular,none,none
25,female,53,151,23.24,moderate,muscle gain,2011,vegan,none,none
37,male,80,188,22.63,sedentary,muscle gain,2223,regular,none,none
32,male,66,174,21.8,moderate,weight loss,2520,keto,gluten,none
18,male,58,180,17.9,sedentary,maintenance,1952,regular,none,none
31,male,80,177,25.54,moderate,weight loss,2842,regular,none,none
33,female,70,168,24.8,sedentary,muscle gain,1767,vegan,none,none
26,male,87,169,30.46,moderate,weight loss,2972,vegan,none,none
42,female,58,159,22.94,active,weight loss,2233,vegetarian,none,none
35,female,60,169,21.01,sedentary,maintenance,1649,regular,none,hypertension
40,female,59,174,19.49,active,weight loss,2344,regular,none,none
39,male,78,173,26.06,moderate,weight loss,2700,regular,none,none
41,female,60,173,20.05,sedentary,muscle gain,1633,regular,none,diabetes
29,male,88,168,31.18,moderate,maintenance,2959,regular,none,none
36,male,79,175,25.8,sedentary,weight loss,2139,regular,none,high cholesterol
33,female,68,169,23.81,active,weight loss,2513,regular,none,high cholesterol
25,male,86,183,25.68,sedentary,maintenance,2372,keto,gluten,hypertension
49,male,92,166,33.39,moderate,weight loss,2851,vegetarian,none,none
27,male,71,171,24.28,sedentary,weight loss,2048,vegan,none,none
38,female,65,164,24.17,sedentary,muscle gain,1671,vegan,none,none
33,female,78,169,27.31,moderate,muscle gain,2402,regular,shellfish,none
36,female,67,184,19.79,sedentary,weight loss,1778,regular,none,none
41,female,71,171,24.28,moderate,weight loss,2257,regular,gluten,none
24,female,65,151,28.51,sedentary,muscle gain,1695,regular,none,diabetes
29,female,55,169,19.26,active,weight loss,2336,vegan,none,none
27,male,82,183,24.49,moderate,muscle gain,2963,vegan,none,high cholesterol
22,male,73,178,23.04,sedentary,weight loss,2155,regular,none,none
35,male,68,175,22.2,sedentary,maintenance,1969,paleo,none,diabetes
36,female,53,170,18.34,sedentary,weight loss,1570,vegan,none,none
42,male,55,178,17.36,moderate,weight loss,2234,regular,none,none
18,female,77,160,30.08,sedentary,maintenance,1893,vegan,none,none
31,female,70,168,24.8,sedentary,weight loss,1777,regular,none,none
32,female,58,155,24.14,sedentary,maintenance,1591,regular,shellfish,none
31,female,71,177,22.66,moderate,maintenance,2353,regular,none,high cholesterol
30,male,72,174,23.78,moderate,weight loss,2662,vegetarian,nuts,none
26,female,61,160,23.83,moderate,weight loss,2162,regular,none,high cholesterol
20,female,60,159,23.73,moderate,weight loss,2183,regular,none,diabetes
37,female,87,166,31.57,active,weight loss,2771,regular,none,none
37,male,76,174,25.1,sedentary,weight loss,2078,regular,none,none
53,male,93,175,30.37,moderate,weight loss,2904,regular,gluten,none
21,male,73,178,23.04,sedentary,maintenance,2162,regular,nuts,none
36,male,84,175,27.43,moderate,weight loss,2866,regular,none,none
49,female,65,158,26.04,moderate,maintenance,2055,keto,nuts,high cholesterol
29,female,63,164,23.42,moderate,weight loss,2190,keto,gluten,none
18,female,55,168,19.49,sedentary,weight loss,1678,regular,none,diabetes
43,male,83,184,24.52,sedentary,maintenance,2207,paleo,none,none
28,female,63,156,25.89,moderate,maintenance,2158,regular,none,high cholesterol
34,female,68,161,26.23,moderate,muscle gain,2213,regular,gluten,diabetes
24,female,68,164,25.28,active,weight loss,2554,regular,shellfish,none
